,t_nav_return_1_day,t_nav_return_1_week,t_nav_return_1_month,t_nav_return_3_month,t_nav_return_ytd,t_nav_return_1_year,t_nav_return_3_year,t_nav_return_5_year,t_nav_return_10_year,t_nav_return_15_year
spy,-0.76,-1.30,0.87,6.35,4.45,77.54,16.86,16.09,13.86,9.77
bnd,0.11,0.40,-0.86,-2.98,-3.18,3.15,4.94,3.29,3.41,None
vfiax,-0.54,-2.12,-0.79,5.42,3.92,61.64,16.70,16.04,13.77,9.80
qqq,-1.68,-3.05,-3.74,0.83,-0.56,70.41,26.28,24.83,19.79,15.38
dodwx,-0.27,-3.03,-0.47,11.62,10.53,78.15,9.70,13.18,9.36,None
